

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
221.328  000.245  000.245: sourcing /Users/fmccabe/.local/share/nvim/plugged/deoplete-ternjs/plugin/deoplete-ternjs.vim
222.962  001.345  001.345: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-flow/plugin/flow.vim
223.429  000.226  000.226: sourcing /Users/fmccabe/.local/share/nvim/plugged/goyo.vim/plugin/goyo.vim
224.135  000.477  000.477: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-pencil/plugin/pencil.vim
224.758  000.350  000.350: sourcing /Users/fmccabe/.local/share/nvim/plugged/rust.vim/plugin/cargo.vim
225.099  000.231  000.231: sourcing /Users/fmccabe/.local/share/nvim/plugged/rust.vim/plugin/rust.vim
225.900  000.385  000.385: sourcing /Users/fmccabe/.local/share/nvim/plugged/neco-vim/plugin/necovim.vim
226.447  000.331  000.331: sourcing /Users/fmccabe/.local/share/nvim/plugged/vimproc.vim/plugin/vimproc.vim
228.237  001.510  001.510: sourcing /Users/fmccabe/.fzf/plugin/fzf.vim
228.917  000.375  000.375: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-tmux-navigator/plugin/tmux_navigator.vim
230.202  000.510  000.510: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/gzip.vim
230.613  000.260  000.260: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/health.vim
231.235  000.472  000.472: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/man.vim
232.210  000.884  000.884: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/matchit.vim
232.724  000.417  000.417: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/matchparen.vim
233.781  000.846  000.846: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/netrwPlugin.vim
235.861  000.568  000.568: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/autoload/remote/host.vim
236.968  000.447  000.447: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/autoload/remote/define.vim
239.353  004.825  003.810: sourcing /Users/fmccabe/.local/share/nvim/rplugin.vim
239.377  005.386  000.561: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/rplugin.vim
239.785  000.288  000.288: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/rrhelper.vim
240.365  000.467  000.467: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/plugin/shada.vim
